item_id,channel,data,date_created
58cf2308-6baa-4bcd-8fb8-5992805488cd,instagram,"{""key"":""f4994151-0e29-47b1-883d-16c0be898191"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":7,""views"":229,""reach"":89,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":7},""publishedDate"":""2026-01-30T15:05:10.330Z""}",2026-02-11 09:17:58.746000
d9f8d6ac-07da-4ce9-985a-50bff6cbed34,facebook,"{""key"":""05c16d97-d0d0-460f-bdca-33276e629370"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":1,""love"":1},""activity"":{""like"":2},""impressions"":{""total"":133,""unique"":84}},""publishedDate"":""2026-01-16T01:00:31.852Z""}",2026-02-11 09:17:58.746000
6079aa0c-0619-4b34-852d-7993e8cca8a6,linkedin,"{""key"":""0f1588f2-18db-46df-8887-f8246316ee33"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":8,""shares"":0,""engagement"":0.07142857142857142,""clicks"":0,""likes"":1,""impression"":14,""comments"":0},""publishedDate"":""2026-01-16T01:01:07.437Z""}",2026-02-11 09:17:58.746000
e1e5a52e-1fec-46d9-9353-925e46318831,linkedin,"{""key"":""7f8c5c79-581a-4354-b5e3-c30d5828e073"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":8,""shares"":0,""engagement"":0.09090909090909091,""clicks"":0,""likes"":1,""impression"":11,""comments"":0},""publishedDate"":""2026-01-30T15:03:26.637Z""}",2026-02-11 09:17:58.746000
ee8bea98-aba2-4c8a-94cc-5528f74efba0,facebook,"{""key"":""893e543d-9b1e-4bff-9b2c-adcad3ba24ad"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":2,""love"":1},""activity"":{""like"":3},""impressions"":{""total"":89,""unique"":61}},""publishedDate"":""2026-01-31T01:00:43.510Z""}",2026-02-11 09:17:58.746000
7877c9e5-5ba1-4940-b714-4e7f49886fad,pinterest,"{""key"":""703bef86-3bf3-4f7b-ae3a-30758360f0a2"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":0,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-02-03T01:01:46.583Z""}",2026-02-11 09:17:58.745000
23aa50e8-5cc5-4b61-81a2-0a98f0e4d31c,instagram,"{""key"":""53cd32eb-141d-4a10-aa5b-3754db2db715"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":4,""views"":208,""reach"":89,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":4},""publishedDate"":""2026-02-03T15:02:54.280Z""}",2026-02-11 09:17:58.745000
eef8fcb9-34ed-4933-b7cf-a62bd1780e19,instagram,"{""key"":""e97cb3f1-1fd6-44cb-b5d6-dab43135b380"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":3,""views"":212,""reach"":72,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":3},""publishedDate"":""2026-01-31T01:00:57.488Z""}",2026-02-11 09:17:58.745000
a2748d6f-99e1-4d67-aa4b-b4282edd9e5d,facebook,"{""key"":""f5cc147a-224e-4234-8307-f144ff2fd995"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":2,""love"":1},""activity"":{""share"":1,""like"":3},""impressions"":{""total"":200,""unique"":116}},""publishedDate"":""2026-02-03T01:01:08.049Z""}",2026-02-11 09:17:58.745000
2b5dcdf3-76d0-454b-93c0-5a79c88e0ffe,linkedin,"{""key"":""7fb57cd5-b205-4670-b00f-34e359809252"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.735Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":9,""shares"":0,""engagement"":0.2727272727272727,""clicks"":1,""likes"":1,""impression"":11,""comments"":1},""publishedDate"":""2026-02-03T15:01:05.401Z""}",2026-02-11 09:17:58.745000
